image,R_mean,R_std,R_skew,R_kurtosis,G_mean,G_std,G_skew,G_kurtosis,B_mean,B_std,B_skew,B_kurtosis,overall_mean,overall_std,psnr,ssim
001,7.1499352,34.21538,-0.03481056,0.35996032,6.233049,32.159378,-0.06789918,0.68010926,7.109182,32.586075,-0.0017147695,0.68155456,6.8307223,33.00155,17.577934142256325,0.5714318390230095
002,2.599397,27.274998,-0.013675243,1.0101333,3.2479503,26.181532,-0.014067412,1.2936869,4.447918,26.470087,0.0030478055,1.2658277,3.431755,26.657225,19.543119138577225,0.7600134944421425
003,7.9951925,32.215405,0.16754179,0.65430117,-4.235933,32.75806,0.1252711,0.5648873,9.607502,29.882238,0.15614575,1.397049,4.4555874,32.241196,17.88042078954905,0.4156812568891928
004,-1.3102369,14.045948,0.65426964,9.187084,-0.46355116,13.586701,0.8805178,12.879501,-1.0179948,13.221887,1.1629469,17.898283,-0.93059427,13.626877,25.42267015215681,0.8208355024837161
005,1.3131738,17.219698,0.16949217,1.843451,1.7475123,15.6881,0.501145,5.5200014,-1.0510068,15.211898,0.687493,8.293996,0.6698931,16.109758,23.981520436476792,0.8041645118466366
006,8.678247,34.201073,0.14986324,0.6253655,7.683547,32.8821,0.15650775,0.74014926,-3.037408,29.163746,0.24136843,1.8699808,4.441462,32.58765,17.789809590871258,0.3305522214094213
007,-0.10523909,26.62363,-0.1714756,2.2301216,0.019538363,25.623514,-0.21182337,2.7307062,-0.2261296,25.57818,-0.22296831,3.1027765,-0.103943445,25.946459,19.84917258148847,0.42661815287832144
008,4.302128,23.923159,0.298634,1.2042661,4.172576,22.679808,0.3635602,1.7471867,5.7229977,22.413715,0.39926457,2.1972961,4.7325673,23.025677,20.70685953897303,0.12566028032134124
009,6.3820424,32.5816,-0.33433226,0.58309865,-9.844232,31.037857,-0.4008588,1.171526,-3.9067316,30.567997,-0.123651445,1.753036,-2.456307,32.114967,17.97132214012815,0.3566871729229171
010,7.885979,32.823586,0.13585082,0.88251615,-4.272706,31.96109,0.12103899,1.0801024,-1.0727687,29.538904,0.20576298,1.7803435,0.84683484,31.889864,18.054688904867838,0.5032217686660143
011,-3.66315,29.207317,0.13349843,1.5695248,-2.298643,28.73713,0.13882267,1.541101,0.082537316,27.625263,0.09941938,2.4277549,-1.959752,28.572905,18.991333391413818,0.48619453441064914
012,3.4616468,22.811682,0.13680634,2.6527534,-0.99978256,21.81704,0.20528024,3.6319475,3.7846775,21.086454,0.24298556,4.9445395,2.0821807,22.024944,21.23386542135542,0.6331501300835788
013,3.9965928,17.12592,0.74189216,15.937241,-0.4222764,16.506878,0.8233854,18.83345,4.650664,16.22811,0.8844313,21.277412,2.74166,16.776525,23.52229896462103,0.5599980143396598
014,-1.4879215,27.698257,0.4183463,1.6958008,11.157355,24.869873,0.5086948,2.815876,2.298683,23.550941,0.5926085,4.3630595,3.9893723,25.978132,19.7374160051278,0.3288337653799611
015,0.9456539,21.430758,0.40985218,4.8201065,6.3350973,22.108042,0.36165214,3.7381182,0.8287967,20.687223,0.516008,5.8010645,2.7031827,21.570019,21.38611552985482,0.4514585475698804
016,-6.2076693,42.510254,-0.08692312,-0.10752463,-4.844113,41.622826,-0.044528507,-0.099606514,-5.921051,41.9445,0.0064560086,-0.062748194,-5.657611,42.03156,15.581311708180184,0.23563093833755622
017,-4.137408,25.361235,0.0331773,1.229775,-3.721196,24.721794,0.043124013,1.376226,-2.8815749,24.577778,0.0766077,1.8044658,-3.5800595,24.894745,20.119751402778967,0.7669046579945528
018,-2.4523475,35.906548,0.08077226,0.51839566,9.385359,32.48478,0.08937827,0.9024513,10.800195,32.0764,0.14518774,0.95063996,5.911069,34.055626,17.358118541516745,0.36837533254794913
019,-1.1805289,20.152649,0.47492662,5.961729,5.8780274,19.752363,0.44559297,5.90199,6.315851,18.063597,0.6567061,12.0655775,3.6711166,19.646732,22.115949197802358,0.5357665395341781
020,4.7793303,24.200727,0.02299133,1.1348076,3.6449814,23.750256,0.041438695,1.2105074,3.7719052,24.086798,0.014217632,1.3290362,4.065406,24.018717,20.397135907028602,0.5751301437566649
