image,noisy_psnr,denoised_psnr,delta_psnr,noisy_ssim,denoised_ssim,delta_ssim,runtime_seconds
001,17.577934142256325,24.87755661726218,7.2996224750058545,0.5714318390230095,0.8711821353699122,0.29975029634690264,33.70658570001251
002,19.543119138577225,26.775125157551578,7.232006018974353,0.7600134944421425,0.9407541155402446,0.18074062109810207,41.48964949999936
003,17.88042078954905,26.147787028320483,8.267366238771434,0.4156812568891928,0.8382956349242958,0.42261437803510304,41.4341349999886
004,25.42267015215681,33.92942641238217,8.506756260225359,0.8208355024837161,0.9660069627349488,0.14517146025123273,41.85355990001699
005,23.981520436476792,32.71288531125285,8.731364874776055,0.8041645118466366,0.9696431045053558,0.16547859265871923,41.11061880001216
006,17.789809590871258,26.248729541623867,8.458919950752609,0.3305522214094213,0.8253152034345531,0.4947629820251318,33.245559700008016
007,19.84917258148847,27.31110715358849,7.46193457210002,0.42661815287832144,0.9005500613035592,0.47393190842523775,35.286862800014205
008,20.70685953897303,33.329389429660445,12.622529890687414,0.12566028032134124,0.8965220835223812,0.7708618032010399,37.6281411999953
009,17.97132214012815,25.546164378211298,7.574842238083146,0.3566871729229171,0.8824801413009471,0.52579296837803,41.141564599995036
010,18.054688904867838,25.459974262923495,7.405285358055657,0.5032217686660143,0.8553574142286181,0.3521356455626038,36.670764200011035
011,18.991333391413818,26.780315493270017,7.788982101856199,0.48619453441064914,0.856304167341578,0.37010963293092886,36.78733910000301
012,21.23386542135542,29.304175769625516,8.070310348270095,0.6331501300835788,0.9209620595808922,0.2878119294973134,37.078582600021036
013,23.52229896462103,28.969880341068176,5.447581376447147,0.5599980143396598,0.7745539630932422,0.21455594875358242,42.493502800003625
014,19.7374160051278,28.244066540696522,8.506650535568724,0.3288337653799611,0.8260911477568323,0.4972573823768712,36.9843212000269
015,21.38611552985482,30.802076789188405,9.415961259333585,0.4514585475698804,0.8881814533416953,0.4367229057718149,33.50398239999777
016,15.581311708180184,24.17164420148092,8.590332493300735,0.23563093833755622,0.6293180226875551,0.3936870843499989,34.986627200007206
017,20.119751402778967,25.126909299192143,5.007157896413176,0.7669046579945528,0.921877294218899,0.1549726362243462,31.65927860001102
018,17.358118541516745,25.036230147416482,7.678111605899737,0.36837533254794913,0.802297532198866,0.4339221996509169,34.2758584000112
019,22.115949197802358,28.275774642921707,6.159825445119349,0.5357665395341781,0.8497694893253437,0.3140029497911656,33.698724600020796
020,20.397135907028602,30.075597200861516,9.678461293832914,0.5751301437566649,0.9341239202067201,0.35899377645005515,35.306913700012956
