stage,image,severity,severity_group,noisy_psnr,denoised_psnr,delta_psnr,noisy_ssim,denoised_ssim,delta_ssim,runtime_seconds
Hard_Thresholding_Only,013,0.7432234920953111,Medium,23.52229896462103,26.301606121353046,2.779307156732017,0.5599980143396598,0.6509715103388389,0.09097349599917914,20.65929710000637
Hard_Thresholding_Only,073,0.6201027273807035,Low,23.057136946798813,24.30986419363274,1.2527272468339277,0.7654953448804669,0.7044946511191275,-0.06100069376133943,18.699486199999228
Hard_Thresholding_Only,096,0.9705898097369612,Medium,17.368850315559946,26.975524207899305,9.606673892339359,0.20883374292610343,0.6048727006910669,0.39603895776496345,19.02431060001254
Hard_Thresholding_Only,114,0.4480927823173178,Low,25.66129864605054,23.85910092862613,-1.8021977174244093,0.8967270182450068,0.8089730659315757,-0.08775395231343108,18.361708600015845
Hard_Thresholding_Only,200,1.1665187914102289,High,18.02778251181713,22.32538402730144,4.29760151548431,0.5802999476712916,0.7529520244026858,0.17265207673139427,18.844056500005536
Hard_Thresholding_Only,203,1.141737277667991,High,19.076983127413037,23.74129415063473,4.664311023221693,0.4211481137004778,0.7244603322594673,0.3033122185589895,18.795552299998235
Hard_Thresholding_Only,212,0.5308047820506455,Low,25.470420658875362,27.245669576211053,1.7752489173356913,0.7815510083681668,0.8428838525610701,0.0613328441929033,17.83022340000025
Hard_Thresholding_Only,220,1.1440814836855495,High,16.107951772537202,28.43374024626261,12.325788473725407,0.0841718469831509,0.7185974956092417,0.6344256486260907,19.124190000002272
Hard_Thresholding_Only,253,1.1617129157935149,High,18.368726981064313,29.396559372106942,11.02783239104263,0.26991704500689684,0.8657551195133938,0.595838074506497,18.656008699996164
Hard_Thresholding_Only,315,0.7622193436554878,Medium,23.87538851127821,27.43685804958246,3.5614695383042516,0.561311701954612,0.7273836834259927,0.1660719814713807,18.02026739998837
Hard_Thresholding_Only,322,0.3861537607464159,Low,27.808109713724196,29.348401063921656,1.5402913501974602,0.8496988139181326,0.8840933969856183,0.03439458306748566,18.849259200011147
Hard_Thresholding_Only,329,0.7934912768812993,Medium,21.37122037091533,22.90548806312694,1.534267692211607,0.7734788722225593,0.7375265825173442,-0.035952289705215135,17.979004499997245
Hard_Thresholding_Only,354,0.5993865429899761,Low,22.661122676296344,26.80434417117088,4.143221494874535,0.7407967787238213,0.8598038937809691,0.11900711505714778,18.05009259999497
Hard_Thresholding_Only,397,1.2176454981772362,High,19.149570604944056,25.37270451293059,6.223133907986533,0.3128156925024593,0.6926249240987196,0.3798092315962603,18.601524300000165
Hard_Thresholding_Only,398,0.9041244123351068,Medium,21.04221948238076,25.33474666760719,4.292527185226433,0.503994095066616,0.7440555045596989,0.24006140949308297,17.787221000005957
Full_BM3D,013,0.7432234920953111,Medium,23.52229896462103,27.073091882743373,3.550792918122344,0.5599980143396598,0.6910738721582845,0.13107585781862474,37.8270782000036
Full_BM3D,073,0.6201027273807035,Low,23.057136946798813,25.553231677398585,2.496094730599772,0.7654953448804669,0.7724118896899185,0.006916544809451586,36.239495799993165
Full_BM3D,096,0.9705898097369612,Medium,17.368850315559946,27.46743521784978,10.098584902289833,0.20883374292610343,0.6562289249606906,0.44739518203458717,37.884542100015096
Full_BM3D,114,0.4480927823173178,Low,25.66129864605054,25.699295756309315,0.03799711025877528,0.8967270182450068,0.8788621128362948,-0.017864905408711995,40.34723099999246
Full_BM3D,200,1.1665187914102289,High,18.02778251181713,23.04298928293843,5.015206771121299,0.5802999476712916,0.8010273756755052,0.22072742800421363,35.867826700006844
Full_BM3D,203,1.141737277667991,High,19.076983127413037,24.19381506031091,5.116831932897874,0.4211481137004778,0.7647277853166475,0.34357967161616976,36.53405610000482
Full_BM3D,212,0.5308047820506455,Low,25.470420658875362,29.32667531680133,3.8562546579259696,0.7815510083681668,0.8922240750334057,0.1106730666652389,35.85555100001511
Full_BM3D,220,1.1440814836855495,High,16.107951772537202,27.34957786755972,11.241626095022518,0.0841718469831509,0.6376123031335728,0.5534404561504218,37.35682820001966
Full_BM3D,253,1.1617129157935149,High,18.368726981064313,29.374795245350768,11.006068264286455,0.26991704500689684,0.8678694141910777,0.5979523691841808,37.081417800014606
Full_BM3D,315,0.7622193436554878,Medium,23.87538851127821,28.800734401266332,4.925345889988122,0.561311701954612,0.7850548953013826,0.22374319334677062,37.80005099999835
Full_BM3D,322,0.3861537607464159,Low,27.808109713724196,31.680376405273844,3.8722666915496475,0.8496988139181326,0.9250176781506205,0.0753188642324879,39.298171600006754
Full_BM3D,329,0.7934912768812993,Medium,21.37122037091533,24.12539560910473,2.754175238189397,0.7734788722225593,0.8076679118663362,0.03418903964377695,37.36266880002222
Full_BM3D,354,0.5993865429899761,Low,22.661122676296344,28.884122870127715,6.223000193831371,0.7407967787238213,0.908744757857964,0.16794797913414272,37.75922549999086
Full_BM3D,397,1.2176454981772362,High,19.149570604944056,25.792885652471185,6.643315047527128,0.3128156925024593,0.7415093556612744,0.42869366315881513,37.12570420000702
Full_BM3D,398,0.9041244123351068,Medium,21.04221948238076,26.427304396286342,5.385084913905583,0.503994095066616,0.8002116048779074,0.29621750981129147,36.683010600012494
