image,noisy_psnr,denoised_psnr,delta_psnr,noisy_ssim,denoised_ssim,delta_ssim,runtime_seconds,severity,severity_group
1,17.577934142256325,22.228879161931,4.650945019674676,0.5714318390230095,0.7670088863444203,0.1955770473214108,0.1986677999957464,1.1135137334964385,High
2,19.543119138577225,22.98366126499412,3.4405421264168936,0.7600134944421425,0.8677483320164092,0.1077348375742667,0.1768289000028744,0.8724377105932243,Medium
3,17.88042078954905,23.9092802478665,6.028859458317452,0.4156812568891928,0.7195489294633406,0.3038676725741478,0.1773690999980317,1.16995467006133,High
4,25.42267015215681,28.973867885001656,3.5511977328448445,0.8208355024837161,0.9190375941619818,0.0982020916782657,0.1760626000032061,0.471737131087787,Low
5,23.981520436476792,27.243898217634243,3.2623777811574506,0.8041645118466366,0.8993830673930674,0.0952185555464307,0.1997975999984191,0.5231371923673289,Low
6,17.789809590871258,24.06513199721636,6.275322406345104,0.3305522214094213,0.674392322430961,0.3438401010215397,0.2114054999983636,1.1946597749861965,High
7,19.84917258148847,24.157569098704368,4.308396517215897,0.4266181528783214,0.7011191797486575,0.274501026870336,0.2326284000009764,0.969696145888771,Medium
8,20.70685953897303,32.05318369416631,11.346324155193276,0.1256602803213412,0.8423615724639039,0.7167012921425626,0.1908646000083536,0.8793171077611397,Medium
9,17.97132214012815,22.98405217315185,5.012730033023697,0.3566871729229171,0.6381366220601643,0.2814494491372472,0.1853605000069365,1.0841185174832664,High
10,18.05468890486784,22.70910818355507,4.654419278687232,0.5032217686660143,0.7229147710035893,0.2196930023375749,0.2019878999999491,1.1738716879172628,High
11,18.991333391413814,23.475104354312,4.483770962898184,0.4861945344106491,0.7068285603602237,0.2206340259495745,0.2204766999930143,1.061975610094688,High
12,21.23386542135542,25.311497918735853,4.077632497380431,0.6331501300835788,0.8178979028493121,0.1847477727657333,0.1932463999983156,0.8166818912627493,Medium
13,23.52229896462103,26.17748053503115,2.6551815704101216,0.5599980143396598,0.6902243355167189,0.1302263211770591,0.2194417999999132,0.7432234920953111,Medium
14,19.7374160051278,25.910740770909648,6.1733247657818495,0.3288337653799611,0.6854887061533631,0.356654940773402,0.211744300002465,1.1415513659694982,High
15,21.38611552985482,26.93661905262468,5.5505035227698585,0.4514585475698804,0.7424476260487468,0.2909890784788664,0.2242153999977745,0.8649571204052556,Medium
16,15.581311708180184,23.097328338310025,7.51601663012984,0.2356309383375562,0.5551366640425298,0.3195057257049736,0.2097174000082304,1.240633560271749,High
17,20.119751402778967,22.08505820521851,1.9653068024395424,0.7669046579945528,0.8297239483889761,0.0628192903944233,0.2168374000029871,0.8390743571501175,Medium
18,17.358118541516745,23.0533800100548,5.695261468538057,0.3683753325479491,0.6622487400985478,0.2938734075505987,0.2132074999972246,1.213337794055492,High
19,22.11594919780236,25.35331270222408,3.237363504421719,0.5357665395341781,0.7335053968252354,0.1977388572910573,0.219190299991169,0.8453061531634464,Medium
20,20.3971359070286,24.898303020589925,4.501167113561323,0.5751301437566649,0.7778322028132161,0.2027020590565511,0.2237710000044899,0.7681281221950583,Medium
21,19.72066906650826,23.8236401062326,4.102971039724338,0.4903786014239794,0.7189874184196244,0.228608816995645,0.2203596000035759,1.043959870845047,High
22,22.59874298241455,26.58449477452598,3.985751792111429,0.5738650919832188,0.7820834473704084,0.2082183553871895,0.1827776999998605,0.7632083179328683,Medium
23,26.983598815685795,29.019233947156557,2.035635131470759,0.7653056622114,0.8603048334667095,0.0949991712553095,0.2180183000018587,0.5237633020412751,Low
24,16.768288849213498,21.077475821156163,4.309186971942665,0.617417307489985,0.7866902230739354,0.1692729155839504,0.1957294999883743,1.2171950449988873,High
25,19.192194022027785,22.418640954756786,3.2264469327289973,0.5974570822328802,0.7311965833804699,0.1337395011475897,0.2140224000031594,0.9397146638406906,Medium
26,19.21467652899465,22.709106452726964,3.494429923732312,0.7803398234143298,0.8745355613079727,0.0941957378936428,0.2067918999964604,0.8499251462429648,Medium
27,21.103138905128777,26.546515878739747,5.44337697361097,0.4263927530454751,0.7501511173131666,0.3237583642676915,0.2221214000019244,0.9078644367263634,Medium
28,28.164959060314885,30.041347374931103,1.876388314616218,0.8202342308581957,0.8970505171499203,0.0768162862917246,0.1814701000112109,0.4742839165599703,Low
29,19.586958484610506,23.48451777553806,3.897559290927554,0.3489010973842935,0.5697627507332349,0.2208616533489414,0.1912971999990986,1.13558385827009,High
30,20.03225813452477,31.219578335201696,11.187320200676922,0.0998955666931747,0.8709240560806935,0.7710284893875187,0.1788436000060755,0.7921288291691372,Medium
31,19.13127398508054,24.237455222497157,5.106181237416614,0.5689317999094503,0.7950478016910828,0.2261160017816325,0.2120578999893041,0.9341179382804524,Medium
32,20.19941464237324,24.82251764634637,4.623103003973128,0.6838636165786404,0.8562895056745493,0.1724258890959089,0.1823947000084445,0.8599499103779575,Medium
33,18.465644217097424,22.799369101176094,4.33372488407867,0.3504907855251457,0.5862541836569051,0.2357633981317593,0.1875301000109175,1.246939019979685,High
34,19.490536126656043,25.627354750243143,6.136818623587104,0.2534454099585869,0.6825641119034835,0.4291187019448966,0.1798857000103453,1.1420454716794235,High
35,18.414076272112087,22.00770142018891,3.5936251480768213,0.5059368530848795,0.6951311407385868,0.1891942876537073,0.1917685999942477,1.1926704625009776,High
36,16.05025988581926,23.070084160120423,7.019824274301165,0.2202134995275809,0.5338812785633801,0.3136677790357991,0.1948911000072257,1.2315807374614651,High
37,19.382120400575083,28.872372425104,9.490252024528916,0.2400667536830604,0.7438586619323296,0.5037919082492692,0.217620800001896,0.8724590208763536,Medium
38,26.425640363957285,29.715472108505743,3.289831744548458,0.7554125106383734,0.8859318889483104,0.1305193783099369,0.2141277999908197,0.4933853413401734,Low
39,17.47563994091067,23.46884254397997,5.993202603069303,0.4438505792926926,0.7243776442638504,0.2805270649711578,0.2063754000118933,1.0633759046513638,High
40,18.2367269413084,22.81002195945827,4.573295018149871,0.4805749987453884,0.6940576051538265,0.213482606408438,0.2083132999978261,1.0810990786993138,High
41,19.924826733007887,24.209139087257043,4.284312354249156,0.5337743782362496,0.7369652081938929,0.2031908299576432,0.1886386999976821,0.9047260248152852,Medium
42,17.72874310063402,24.089055517299627,6.360312416665607,0.3814195766152168,0.7114634372379275,0.3300438606227107,0.2093726000020979,1.1306222303883908,High
43,16.133198002327113,21.210590884595607,5.077392882268494,0.5375335920897378,0.7495413716564467,0.2120077795667089,0.245343500006129,1.229648273286486,High
44,19.446055362204063,23.96044539263378,4.514390030429716,0.4062071804600615,0.6632763292009436,0.2570691487408821,0.2329394999978831,1.1388862090534946,High
45,20.64792518896612,22.877174609445447,2.229249420479327,0.8028112837145848,0.8597249771548019,0.0569136934402171,0.1884810000046854,0.7666932740152291,Medium
46,18.170655644255465,22.673444694818272,4.502789050562807,0.4928014252059633,0.6736983202954167,0.1808968950894533,0.1821693999954732,1.1384001264497692,High
47,24.830451736080896,29.066705721407708,4.236253985326812,0.8279599121258728,0.928585797564554,0.1006258854386811,0.22488809999777,0.4906632677805814,Low
48,18.40240839569249,26.2777362392686,7.875327843576112,0.2417740554941324,0.7018147736452091,0.4600407181510766,0.18074969999725,1.2106759809004162,High
49,17.01163311200222,24.73893502407908,7.727301912076861,0.1279487093122918,0.5585844066376833,0.4306356973253914,0.2133860000030836,1.1339737147632225,High
50,20.522352674014428,25.571405658261405,5.049052984246977,0.5608599779350105,0.7997056554141134,0.2388456774791029,0.2289186999987578,0.9236726877851004,Medium
51,24.74801870054165,29.490796914875297,4.742778214333647,0.6623315898041802,0.856051758709144,0.1937201689049638,0.1866808000049786,0.6004837934417665,Low
52,16.994015885767656,22.477552364381022,5.483536478613367,0.4294824330140418,0.6854811520158796,0.2559987190018377,0.1909314999938942,1.2535943046751092,High
53,17.07547945184705,20.90743303246317,3.8319535806161262,0.6075061715795836,0.7349190302507616,0.1274128586711779,0.1806025999976555,1.1752780911248304,High
54,22.9623898370536,28.212078734679864,5.249688897626264,0.5356786856449359,0.7615176550934897,0.2258389694485537,0.182585199989262,0.5900214479139739,Low
55,19.13983763255576,22.543149201133893,3.403311568578133,0.5739714251676262,0.7192511886536631,0.1452797634860368,0.1961107999959495,1.0379588008137726,High
56,19.002165090233675,23.30003680072848,4.297871710494803,0.6507278233133209,0.8110023790049151,0.1602745556915942,0.2209329999895999,0.898528363404182,Medium
57,18.528555574570515,23.77570247096485,5.247146896394337,0.3754675372245906,0.6370863650958308,0.2616188278712402,0.1761531999945873,1.208139322615564,High
58,17.088604039912703,21.191688622217576,4.103084582304874,0.5652102616029663,0.7214121081900527,0.1562018465870864,0.2258909000083804,1.2349097985191304,High
