channel,intensity_low,intensity_high,intensity_center,pixel_count,residual_mean,residual_std
R,0,15,7.5,29982302,7.0026311522043905,15.366530054554621
R,16,31,23.5,46581398,3.9175809407867064,19.74521512983243
R,32,47,39.5,49693710,3.097656504213511,23.117927349761132
R,48,63,55.5,45456809,2.6965451094466397,25.58324909552293
R,64,79,71.5,41078175,2.4602478810219783,27.62428918563458
R,80,95,87.5,35839844,2.1339575306187157,29.650288138597144
R,96,111,103.5,31516589,1.9086841853349041,31.495780635329098
R,112,127,119.5,26869108,1.808742329667215,33.08821908318086
R,128,143,135.5,24197378,1.5791882905660275,34.54785291010229
R,144,159,151.5,23205164,1.2887782219509416,35.69981834904365
R,160,175,167.5,22475117,0.969868632941933,36.64637889222175
R,176,191,183.5,17893259,0.10513830934878883,36.850063129729435
R,192,207,199.5,16103521,-1.3693153814001298,35.90725747834009
R,208,223,215.5,14072628,-4.560988040044831,33.487806468639334
R,224,239,231.5,12696899,-9.133175431260813,29.734501766919017
R,240,255,247.5,15007539,-17.862156813318958,26.096784828287326
G,0,15,7.5,29934728,6.376035987365578,14.118202546810302
G,16,31,23.5,46169760,3.828767617592121,18.5594902478965
G,32,47,39.5,49186041,3.1033133160686788,21.907979309022537
G,48,63,55.5,45885478,2.57611719768943,24.266943323410082
G,64,79,71.5,41535651,2.161884666259354,26.426100838875282
G,80,95,87.5,36597530,1.9002864947443174,28.46998196268836
G,96,111,103.5,31585781,1.5937340602722472,30.22180335677443
G,112,127,119.5,27321524,1.5638283940529818,31.961601426596765
G,128,143,135.5,25705227,1.1960296246362656,33.62848434208842
G,144,159,151.5,23216099,1.04797662173994,34.798552539427305
G,160,175,167.5,21551610,0.002711815961777334,35.749544062363185
G,176,191,183.5,16870792,-0.7284475441342647,36.222702730550395
G,192,207,199.5,14095880,-1.9315275101660911,35.28738213300886
G,208,223,215.5,12852398,-4.652337641582528,32.67349378112323
G,224,239,231.5,13241399,-9.428379055717603,29.521991661452585
G,240,255,247.5,16919542,-16.9592961204269,25.233535910534002
B,0,15,7.5,58555590,7.096491521987909,14.998011436632815
B,16,31,23.5,62033628,4.07972001895488,19.597380870391053
B,32,47,39.5,51967730,2.889443833702184,22.951646610742454
B,48,63,55.5,45031088,2.3931839266242023,25.587636771680327
B,64,79,71.5,36832739,2.138765379354492,27.800345041640757
B,80,95,87.5,31750231,2.0717696195659174,29.579907783970963
B,96,111,103.5,27643280,2.0600562957796615,31.508405549439374
B,112,127,119.5,24870682,1.7974398530768074,33.24300444670028
B,128,143,135.5,21409006,1.65278761657594,34.58044676482845
B,144,159,151.5,19862165,1.4747743259609414,36.10110374134905
B,160,175,167.5,17107806,0.8705109819459024,36.86478852791873
B,176,191,183.5,12973371,-0.31342717324587416,36.96535613753213
B,192,207,199.5,10248899,-2.3387103336660844,35.850293490487275
B,208,223,215.5,9670397,-4.723887861067131,32.883388771542904
B,224,239,231.5,7851018,-9.42482121426801,30.47153603405371
B,240,255,247.5,14861810,-18.33889055236206,25.235914760105082
