image,split,true_severity,robust_scale,mean_abs_z,p90_abs_z,p95_abs_z,positive_tail_fraction,negative_tail_fraction
1,train,1.1135137334964385,0.906374,0.7406607,1.486345,1.9636666,0.00518665452653486,0.0022058185917447105
2,train,0.8724377105932243,0.6741562,0.5542708,1.0719503,1.3146554,0.0011814949705168227,0.0005528095733610822
3,validation,1.16995467006133,0.97516567,0.8095575,1.6539917,2.0299428,0.008172910163024627,0.0013549254249046133
4,train,0.471737131087787,0.32417622,0.26866582,0.5587664,0.6812068,0.0003035032951786334,0.0
5,train,0.5231371923673289,0.3580596,0.30569282,0.637066,0.77769846,0.00024930627818244884,0.0
6,train,1.1946597749861965,1.0157297,0.84053767,1.6662027,2.0647898,0.010237816510579258,0.0015500346860908775
7,train,0.969696145888771,0.8692787,0.6511813,1.1741576,1.442973,0.0018752167880679846,0.0014470603537981269
8,train,0.8793171077611397,0.82334065,0.66435456,1.3636318,1.6264383,0.0008183749566423864,5.419701699618453e-06
9,train,1.0841185174832664,0.9788915,0.7531343,1.4038363,1.8167386,0.003652878945542837,0.0032247225112729794
10,train,1.1738716879172628,0.96872306,0.8051038,1.5855342,2.0393472,0.012709200485605272,0.0016475893166840096
11,train,1.061975610094688,0.8842588,0.7215744,1.4061313,1.7894098,0.008140391952826917,0.0010893600416233091
12,train,0.8166818912627493,0.65760475,0.51703477,1.0234649,1.2102728,0.0009267689906347554,0.0001734304543877905
13,train,0.7432234920953111,0.46931592,0.43067923,0.8255847,0.91707915,0.0015717134928893513,0.00013549254249046132
14,train,1.1415513659694982,0.98551077,0.8122641,1.5290222,1.8036298,0.008395117932708984,0.00027098508498092264
15,train,0.8649571204052556,0.7171079,0.58050346,1.1247095,1.3146851,0.0013332466181061394,8.671522719389525e-05
16,train,1.240633560271749,1.034411,0.87246317,1.9213809,2.382176,0.006942637877211238,0.006888440860215054
17,train,0.8390743571501175,0.67725486,0.5600449,1.0775067,1.3691355,0.002677332639611516,0.0006124262920568852
18,train,1.213337794055492,0.9660746,0.8185792,1.6616856,2.1087883,0.009961411723898717,0.0023575702393340272
19,validation,0.8453061531634464,0.62884706,0.5204934,1.0220964,1.193131,0.001615071106486299,0.0001029743322927506
20,train,0.7681281221950583,0.66355085,0.5273624,1.0503336,1.226942,0.00042815643426985777,5.9616718695802984e-05
21,train,1.043959870845047,0.85047823,0.6835486,1.265383,1.5291073,0.006687911897329171,0.0008834113770378078
22,train,0.7632083179328683,0.6173774,0.49767563,1.0019869,1.1743178,0.0008942507804370447,2.7098508498092266e-05
23,validation,0.5237633020412751,0.32693067,0.32010618,0.7101957,0.81745917,0.0007750173430454388,5.419701699618453e-06
24,train,1.2171950449988873,0.95863366,0.800014,1.6857029,2.2327247,0.009685006937218176,0.005072840790842872
25,train,0.9397146638406906,0.8170263,0.65647477,1.2595559,1.6362731,0.002005289628858828,0.001674687825182102
26,train,0.8499251462429648,0.69889855,0.556666,1.0994918,1.3599223,0.000861732570239334,0.0003360215053763441
27,train,0.9078644367263634,0.7348743,0.60791945,1.196202,1.4031326,0.0016259105098855359,0.00013007284079084288
28,train,0.4742839165599703,0.25283498,0.2769548,0.6416374,0.7808293,0.00037395941727367323,0.0
29,train,1.13558385827009,0.8611895,0.70842355,1.3211012,1.5547117,0.005820759625390219,0.0006178459937565036
30,train,0.7921288291691372,0.8638369,0.6798346,1.1821705,1.2723749,0.0,9.21349288935137e-05
31,train,0.9341179382804524,0.7731996,0.6331756,1.2711498,1.5677142,0.0025310006937218177,0.0004389958376690947
32,train,0.8599499103779575,0.70719373,0.58387446,1.1708133,1.4090254,0.0014741588622962192,0.00010839403399236907
33,train,1.246939019979685,0.9978796,0.8022835,1.5114424,1.8458152,0.01099657474852584,0.0016963666319805759
34,train,1.1420454716794235,0.98859787,0.78514415,1.5181879,1.7668239,0.005181234824835241,0.0008183749566423864
35,validation,1.1926704625009776,0.98428094,0.7981969,1.5590159,2.0204506,0.014568158168574402,0.002167880679847381
36,train,1.2315807374614651,1.0612087,0.865211,1.806382,2.3338585,0.007099809226500173,0.00830298300381547
37,train,0.8724590208763536,0.8433544,0.66949236,1.3338103,1.6018307,0.0006178459937565036,0.0003089229968782518
38,train,0.4933853413401734,0.31465754,0.28492355,0.62391925,0.76829743,0.00038479882067291016,0.0
39,train,1.0633759046513638,0.91120505,0.7602295,1.5755924,2.0285695,0.005495577523413111,0.0016692681234824836
40,train,1.0810990786993138,0.8773173,0.72786516,1.4192557,1.8777796,0.00634105098855359,0.00234673083593479
41,train,0.9047260248152852,0.7487546,0.60641146,1.1676986,1.4303831,0.0034035726673603884,0.0006070065903572668
42,train,1.1306222303883908,0.98845536,0.8013601,1.6036955,2.0031984,0.005782821713492889,0.0021787200832466182
43,train,1.229648273286486,0.9884845,0.8425245,1.845051,2.3635395,0.009592872008324661,0.006373569198751301
44,validation,1.1388862090534946,0.9446026,0.7797318,1.4459403,1.7206786,0.009890955601803676,0.0005311307665626084
45,train,0.7666932740152291,0.56587595,0.48376265,0.9567417,1.1686901,0.0015229361775927852,0.0001517516475893167
46,validation,1.1384001264497692,0.97978014,0.81094396,1.6037182,2.0785651,0.01240027748872702,0.0021624609781477626
47,train,0.4906632677805814,0.38588503,0.31364757,0.6518147,0.78669965,0.000287244190079778,0.0
48,train,1.2106759809004162,1.0831072,0.8765123,1.692432,2.001203,0.008752818244883801,0.0012194328824141518
49,train,1.1339737147632225,1.0103931,0.7938654,1.5537895,2.0359147,0.004487513007284079,0.003067551161984044
50,train,0.9236726877851004,0.7677316,0.6201974,1.2271768,1.4564968,0.002536420395421436,0.0001409122441900798
51,train,0.6004837934417665,0.45424888,0.381625,0.7710568,0.9033718,0.0004931928546652792,0.0
52,train,1.2535943046751092,0.9987167,0.8537233,1.7717584,2.3057804,0.015126387443635102,0.0028778616024973985
53,train,1.1752780911248304,0.95067066,0.8219152,1.7701051,2.3494508,0.013766042317030871,0.003940123135622615
54,train,0.5900214479139739,0.46310845,0.37756974,0.77365184,0.9098379,0.00024930627818244884,5.419701699618453e-06
55,train,1.0379588008137726,0.882666,0.7131145,1.3595687,1.7198831,0.008736559139784945,0.0013440860215053765
56,validation,0.898528363404182,0.7381707,0.6006161,1.1871915,1.5055763,0.0020161290322580645,0.0005202913631633715
57,train,1.208139322615564,1.0311737,0.8472225,1.6202798,2.0071528,0.014459764134582033,0.0012898890045091919
58,train,1.2349097985191304,0.95034105,0.8158526,1.6630609,2.291103,0.014248395768296913,0.004514611515782171
59,train,0.5107143526397243,0.3875724,0.31589526,0.65584266,0.78769976,0.00038479882067291016,0.0
60,train,0.5813411350261203,0.47403708,0.38368502,0.79022825,0.92191464,0.00040647762747138397,0.0
61,validation,0.9407969334714568,0.7936302,0.66756827,1.3265713,1.8981036,0.003717915365938259,0.0014904179673950746
62,train,1.23633994945441,0.9673732,0.843301,1.8890315,2.4524457,0.012308142559833507,0.008525190773499827
63,train,1.1737789906789533,0.95081484,0.73478806,1.3596603,1.8369117,0.005208333333333333,0.004520031217481789
64,train,0.9371091287196258,0.8118713,0.6579252,1.3016498,1.6081545,0.002270855012140132,0.00045525494276795007
65,train,1.1445324766981575,0.92350286,0.7572531,1.4089383,1.9234045,0.009782561567811307,0.004384538674991329
66,train,0.8262537628303542,0.6990938,0.558495,1.1115067,1.3279966,0.0009863857093305585,0.0001734304543877905
67,train,0.6107341415313532,0.4044496,0.37751314,0.74167556,0.8518077,0.0007154006243496358,0.0
68,train,1.0620458130138792,0.9308908,0.74786276,1.3331239,1.5187837,0.00679630593132154,0.00015717134928893513
69,train,1.24108525592909,1.0239211,0.8368048,1.6776367,2.211711,0.011728234477974333,0.004286984044398197
70,train,0.9142694104475144,0.8805508,0.6850298,1.336489,1.6186588,0.00105142212972598,0.0007316597294484911
71,train,0.8472290912416631,0.6208288,0.51363313,0.98858,1.1588295,0.0014904179673950746,0.00026014568158168577
72,train,1.1470071480249582,0.96710837,0.7902347,1.5181879,1.937109,0.015045091918140826,0.00189147589316684
73,train,0.6201027273807035,0.4893844,0.39840075,0.8290623,0.9407926,0.0004118973291710024,2.1678806798473812e-05
74,train,1.190443233685803,0.98911196,0.843633,1.9064214,2.2775922,0.0014904179673950746,0.005847858133888311
75,train,1.1602031487780902,0.9887154,0.8333013,1.7224962,2.1166608,0.009083420048560527,0.000872571973638571
76,train,0.5929433086281547,0.35631675,0.3270278,0.675893,0.78953797,0.0005853277835587929,0.0
77,validation,1.2270554482878606,1.0702742,0.88212615,1.8683417,2.3489592,0.012080515088449532,0.002764047866805411
78,train,0.5609834539588535,0.40806296,0.3388383,0.7048127,0.84928083,0.00037395941727367323,0.0
79,validation,0.9285042538760164,0.75432193,0.6047417,1.1439719,1.3823564,0.003620360735345127,0.000514871661463753
80,train,1.102031239701893,0.8965415,0.775826,1.4061884,1.7095209,0.015375693721817551,0.0005690686784599376
81,train,1.224621060466384,1.0335573,0.8327627,1.6806773,2.1769154,0.006877601456815817,0.006828824141519251
82,train,1.081315066866462,0.91476274,0.7659306,1.6023892,2.080032,0.0049048300381547,0.0018210197710718003
83,train,0.4921358703590843,0.32042798,0.28028262,0.6134691,0.7680637,0.00023304717308359347,0.0
84,train,1.1355299569821675,0.9231555,0.76362634,1.5574939,2.0928385,0.0071377471383975025,0.002791146375303503
85,train,1.205135049282289,0.9756321,0.81286806,1.6048452,2.1774418,0.015473248352410684,0.003425251474158862
86,train,1.18635117458766,0.9515979,0.7722414,1.5263779,1.94812,0.009782561567811307,0.002428026361429067
87,train,0.9579490488383416,0.78207433,0.6614166,1.3232256,1.8722119,0.005365504682622269,0.001279049601109955
88,train,1.0834695886825372,0.9554935,0.76708686,1.5230033,1.9723266,0.005273369753728755,0.0022545959070412766
89,train,0.8188240693504951,0.6681558,0.52264994,0.9764677,1.1007885,0.0011164585501214014,0.0001842698577870274
90,validation,0.3793252854405926,0.21680713,0.19215065,0.3978202,0.52032256,0.00029808359347901494,0.0
91,train,1.187512959802359,0.98219806,0.8134012,1.6632389,2.2119567,0.010655133541449879,0.004704301075268817
92,train,0.8533095673524976,0.70810723,0.5718016,1.1505433,1.3694391,0.0011706555671175858,7.04561220950399e-05
93,train,1.1951535949495589,1.0266087,0.84852594,1.7751814,2.2327247,0.0024930627818244883,0.008281304197016996
94,train,1.18625777311656,1.0085312,0.8508228,1.7787322,2.343519,0.014085804717308359,0.004910249739854319
95,train,0.5398800617720868,0.31982124,0.311315,0.652346,0.75085574,0.0006557839056538328,0.0
96,train,0.9705898097369612,0.8675019,0.7093008,1.4748993,1.8543098,0.00048777315296566075,0.0006178459937565036
97,train,0.8716061853707274,0.9356704,0.6989896,1.3083242,1.5087043,0.00027098508498092264,0.0003793791189732917
98,validation,1.2147659107738993,1.0154487,0.8618745,1.911824,2.345837,0.005734044398196323,0.0051703954214360045
99,train,0.439266287974998,0.29367873,0.2845833,0.60030377,0.68736863,0.0004389958376690947,0.0
100,train,1.1049679376879251,1.0193573,0.8070911,1.6223476,1.9635688,0.00473139958376691,0.0016584287200832467
101,validation,0.4693474897097721,0.31050915,0.2692764,0.5593106,0.6778373,0.00042273673257023933,0.0
102,validation,0.8915766254600701,0.7474984,0.599508,1.1674154,1.4826579,0.0012844693028095733,0.0007804370447450572
103,validation,0.4264388199381202,0.21762434,0.24749656,0.5667441,0.6554,0.0005473898716614637,0.0
104,validation,1.161049345208861,0.9767338,0.7643755,1.5078938,1.7961053,0.004969866458550121,0.0005690686784599376
105,train,0.8423618426493493,0.7407009,0.6075327,1.2074444,1.5067103,0.0019185744016649324,0.0003089229968782518
106,train,0.4709789209047453,0.27565423,0.2597821,0.56993043,0.6926764,0.00045525494276795007,0.0
107,train,1.2274056915267566,0.9974392,0.8365017,1.6980968,2.210677,0.01187456642386403,0.003148846687478321
108,train,0.8691264623766993,0.72082543,0.5787272,1.1245263,1.362871,0.0008888310787374263,0.0005040322580645161
109,train,0.8748115262822712,0.83935034,0.6483881,1.2625151,1.5287377,0.0006828824141519251,0.0004986125563648977
110,validation,1.217194073290798,1.1016117,0.8815578,1.7733977,2.1753526,0.010389568158168574,0.002200398890045092
111,train,1.2195408901349245,1.0249587,0.8404492,1.6862054,2.104996,0.01064971383975026,0.001902315296566077
112,validation,1.1408850882957018,1.0076258,0.78470016,1.5114424,1.8599715,0.008747398543184183,0.0011652358654179675
113,train,0.5879714616850055,0.486765,0.3959659,0.815043,0.954026,0.00034144120707596255,0.0
114,train,0.4480927823173178,0.32333142,0.27543664,0.5964848,0.76851296,0.0001734304543877905,0.0
115,train,0.8397226390195973,0.69348466,0.5563932,1.0679988,1.2358607,0.0018047606659729448,3.793791189732917e-05
116,validation,0.9589157483049264,0.90199655,0.7136382,1.3827081,1.692432,0.0009484477974332293,0.0010622615331252168
117,train,1.1042246393635586,0.8719478,0.70676166,1.3486179,1.6018634,0.0057882414151925075,0.0008888310787374263
118,train,0.9073223691832908,0.80698407,0.63794696,1.2485892,1.5116265,0.0013061481096080473,0.00044441553936871314
119,train,0.8422912535189447,0.6538319,0.53440297,1.0420274,1.2147269,0.0021136836628511966,0.00022220776968435657
120,train,1.2011294021736103,0.97818846,0.83655113,1.7903045,2.373233,0.01530523759972251,0.0038913458203260493
121,validation,1.1315356591123398,0.95007765,0.78970027,1.5874357,1.9900125,0.00826504509191814,0.0013928633368019425
122,train,0.8116265328240008,0.59447837,0.49108204,0.9738698,1.1378261,0.001338666319805758,7.587582379465834e-05
123,train,0.9063955814791226,0.82899994,0.6579285,1.305424,1.5775573,0.0013440860215053765,0.00021678806798473813
124,train,0.8971942404597181,0.84814316,0.68121076,1.391914,1.655302,0.0015391952826916406,4.8777315296566075e-05
125,train,0.8370610606984351,0.7212297,0.5617259,1.0400419,1.2267449,0.0005853277835587929,0.0004823534512660423
126,train,0.9062449252178524,0.8331366,0.6525967,1.2690464,1.5037938,0.0010460024280263614,0.00047151404786680543
127,validation,1.1481022440686903,0.95357794,0.7499785,1.3364103,1.5881732,0.009099679153659383,0.0006286853971557405
128,train,1.1796017164127373,1.0304221,0.8384103,1.7052279,2.2110388,0.009153876170655568,0.005912894554283732
129,train,1.1222877509151068,0.9670799,0.7903059,1.5906972,2.0294838,0.003148846687478321,0.002092004856052723
130,train,1.1660159907398493,1.0711612,0.85860056,1.6916693,2.0711195,0.008595646895594866,0.0010785206382240722
131,train,1.114557572049773,0.9356193,0.75673246,1.4826256,1.9720601,0.006801725633021159,0.0031271678806798473
