wavelet,level,method,mean_delta_psnr,mean_delta_ssim,score,avg_runtime,low_delta_psnr,medium_delta_psnr,high_delta_psnr,low_delta_ssim,medium_delta_ssim,high_delta_ssim
sym4,4,BayesShrink,5.379552913737525,0.2451161782239376,0.31322858783907603,0.18788288166688288,4.217512623177834,6.119348301152938,5.8017978168818,0.14930002250311458,0.29928418684941144,0.2867643253192868
sym4,3,BayesShrink,5.363434352336541,0.24465780690864816,0.3124004968569209,0.1873032583333649,4.2129308304925885,6.089804853618654,5.787567372898378,0.14925172703247297,0.2983701995316165,0.28635149416185507
db4,4,BayesShrink,5.320798641871211,0.24138958044460493,0.30938777785269045,0.19156075333279052,4.171186314655193,6.051533321186696,5.739676289771745,0.14792966891344794,0.2948366939208767,0.2814023784994902
db4,3,BayesShrink,5.305311233937656,0.24096418675227985,0.30859812405841813,0.18588581666578344,4.166851765436798,6.022995512575933,5.726086423800238,0.14788174244419278,0.29397780998973355,0.28103300782291313
sym4,2,BayesShrink,5.207865053938788,0.23471239295397606,0.30219955933914194,0.18165942833244722,4.15784850417785,5.815781317975148,5.6499653396633684,0.14726671117835752,0.2801809701227824,0.2766894975607882
db4,2,BayesShrink,5.157288735417693,0.23165255345225882,0.2989525707976113,0.18092185500039099,4.1127765591479974,5.763436617609426,5.595653029495655,0.14593184445337343,0.2768492847746567,0.2721765311287464
db2,4,BayesShrink,5.000620837454576,0.23192039936300654,0.29279299324338565,0.17583123333315598,3.72859855060952,5.721161563564661,5.552102398189549,0.1381958990230837,0.2841271257354599,0.27343817333047604
db2,3,BayesShrink,4.985806975582304,0.23139707172387197,0.291991107712841,0.1746185000001181,3.7244510679609824,5.694123995304585,5.538845863481344,0.13813328317164178,0.28310966711520325,0.27294826488477103
db2,2,BayesShrink,4.844363537731507,0.22211572691416634,0.2826208322749268,0.18717681666676073,3.673028868846727,5.450596225997935,5.409465518349856,0.13623880892689347,0.2664730580804259,0.2636353137351797
haar,4,BayesShrink,4.445243148103079,0.2088279105455814,0.26134089014235573,0.18892103500111262,3.11874648742056,5.0980116273181935,5.118971329570484,0.12234014476268502,0.25628125666131196,0.2478623302127471
haar,3,BayesShrink,4.431928627537703,0.20816789586199683,0.26054430344630686,0.18972386833362787,3.1154655782195753,5.07425078530667,5.106069519086864,0.12226273539325297,0.25506578985898143,0.24717516233375586
haar,2,BayesShrink,4.308698752780105,0.19949719388602044,0.25214682766561236,0.18245641333439078,3.072197811963727,4.867791130831404,4.986107315545181,0.12051355969552546,0.23987039064374635,0.23810763131878948
sym4,2,VisuShrink,2.987417023694929,0.17355045887683423,0.18891686449853085,0.17888770500018533,0.3937206830465209,3.90769031919683,4.660840068841436,0.0713766465931473,0.2133914139198158,0.2358833161175395
db4,2,VisuShrink,2.963332454448883,0.17194667138742661,0.18731196673292597,0.17878132833284327,0.34760144969722157,3.891839626459496,4.650556287189932,0.06936158741935602,0.21220866900108853,0.23426975774183512
db2,2,VisuShrink,2.475771683127214,0.1508322843044545,0.15936378104687035,0.17549611666666654,-0.3063673969730415,3.451500998284163,4.282181448070519,0.047835328519333975,0.19032346771910424,0.2143380566749254
sym4,3,VisuShrink,1.7183782577725077,0.08189137348576277,0.10149167970520542,0.1832682949990461,-1.051028773337086,2.737931267746378,3.4682322789082307,-0.019909645960390552,0.12697338716933876,0.13861037924834016
haar,2,VisuShrink,1.499933821186741,0.10121918188430754,0.10048502560119266,0.17899115999874388,-1.5280724995058608,2.527648924907506,3.5002250381585767,-0.003160532460793006,0.13967163250162756,0.16714644561208808
db4,3,VisuShrink,1.6797608046212626,0.08097093541975432,0.09957880635275224,0.18722100333179698,-1.1036994436152552,2.697083974477912,3.4458978830011313,-0.021252060785295797,0.12628213990412124,0.1378827271404375
db2,3,VisuShrink,1.3216243371850411,0.058372513283432674,0.07621397880077471,0.17474500166645157,-1.5640258801178857,2.3464037658883514,3.1824951257846563,-0.045325902361682754,0.10187171715425429,0.11857172505772653
sym4,4,VisuShrink,1.1112078980589644,0.05056125960229958,0.0646728197632784,0.18871566500116993,-1.548192048087217,2.020881965417698,2.8609337768464123,-0.041511766008873664,0.0918852001218282,0.10131034469394422
db4,4,VisuShrink,1.0679457688042293,0.05016195468451442,0.06278261262597493,0.18682864333362278,-1.6059851912424392,1.9778434972058776,2.8319790004492496,-0.04266840918958059,0.09193820865550853,0.10121606458761534
db2,4,VisuShrink,0.7687668879799165,0.02815565528185614,0.04201293763193911,0.17361715166795572,-2.0100792147174915,1.696593286726856,2.619786591930386,-0.06693804801052324,0.06894701017986948,0.08245800367622215
haar,3,VisuShrink,0.5226684907111053,0.010151414645646461,0.024967305486702798,0.18365854000051815,-2.538920266417265,1.553300279693876,2.5536254588567053,-0.09704698631245796,0.050515340783698334,0.07698588946569898
haar,4,VisuShrink,0.05011928755806891,-0.015172006541300931,0.0020047715023227566,0.18344225333372985,-2.919791357074684,1.001803126042744,2.0683460937061477,-0.1172828180484043,0.02273936698527306,0.04902743143922844
