lag,R_horizontal,G_horizontal,B_horizontal,R_vertical,G_vertical,B_vertical
1,0.03072677466867601,0.03383870165751415,0.03481231981961387,0.031069550594531443,0.03474602220075932,0.03513680739185574
2,0.029012400040337942,0.030806957252415935,0.03379093531312214,0.02957546134513057,0.03246851153770964,0.03366524124138112
3,0.028573496765302672,0.030184925575778798,0.031465047096718664,0.028227565808058824,0.030161879773771737,0.032660803118961135
4,0.027761179698282377,0.029014797961517676,0.03012508940851633,0.028357843474248842,0.031096064712170503,0.032129094406412574
5,0.02783576698313283,0.029240691689858923,0.030355613505808256,0.026996218167102584,0.030473678821151817,0.030731771773356356
6,0.02736427440334684,0.0296781508367492,0.030716045587935975,0.026012496427224786,0.029785005622249852,0.030195223913875115
7,0.026650342813227236,0.029498826168020045,0.02912712666863556,0.027429505260487146,0.028929716525900807,0.029736242568532422
8,0.027648513073245447,0.028634855688179306,0.029176312822516634,0.025151931801380718,0.029762194504503247,0.02933606063986851
9,0.024821336537804654,0.028186859185160045,0.029223809092398235,0.025144191255437164,0.028850528669158472,0.029072764008144916
10,0.025400531952331357,0.02818378498103157,0.029749695234506927,0.026285296662932646,0.027523297644551623,0.028770840900628106
