image,noisy_psnr,denoised_psnr,delta_psnr,noisy_ssim,denoised_ssim,delta_ssim
001,17.577934142256325,22.19588955870647,4.617955416450144,0.5714318390230095,0.757025100631647,0.18559326160863743
002,19.543119138577225,23.406517826011704,3.8633986874344792,0.7600134944421425,0.8686708396807662,0.10865734523862369
003,17.88042078954905,21.24824893000931,3.3678281404602615,0.4156812568891928,0.5718819953088426,0.15620073841964988
004,25.42267015215681,29.60038493697659,4.177714784819777,0.8208355024837161,0.923428590804074,0.10259308832035796
005,23.981520436476792,27.411430565054637,3.429910128577845,0.8041645118466366,0.9303776106447502,0.1262130987981136
006,17.789809590871258,21.5922599302727,3.8024503394014424,0.3305522214094213,0.5054697973550336,0.1749175759456123
007,19.84917258148847,23.193408941158715,3.3442363596702442,0.42661815287832144,0.6262191014321795,0.19960094855385807
008,20.70685953897303,31.708449114512245,11.001589575539214,0.12566028032134124,0.7099025924214262,0.5842423121000849
009,17.97132214012815,22.471824196397474,4.5005020562693225,0.3566871729229171,0.7574142462855384,0.40072707336262137
010,18.054688904867838,20.518563605355958,2.4638747004881196,0.5032217686660143,0.5929987807834342,0.08977701211741984
011,18.991333391413818,21.751641967658717,2.760308576244899,0.48619453441064914,0.5937497641868932,0.10755522977624404
012,21.23386542135542,24.927367603325386,3.693502181969965,0.6331501300835788,0.7687592298201045,0.13560909973652568
013,23.52229896462103,26.175273112878493,2.6529741482574636,0.5599980143396598,0.6469179127980028,0.08691989845834303
014,19.7374160051278,21.137865658451016,1.4004496533232178,0.3288337653799611,0.3740462095729364,0.045212444192975265
015,21.38611552985482,25.299230233928856,3.9131147040740366,0.4514585475698804,0.6189658643251161,0.16750731675523572
016,15.581311708180184,23.74306541110942,8.161753702929236,0.23563093833755622,0.6493445629719342,0.413713624634378
017,20.119751402778967,22.92190884356341,2.8021574407844447,0.7669046579945528,0.8593815962572773,0.09247693826272452
018,17.358118541516745,21.04402820730914,3.685909665792394,0.36837533254794913,0.5252235922692335,0.1568482597212844
019,22.115949197802358,24.416255079307426,2.300305881505068,0.5357665395341781,0.6220501036981588,0.08628356416398075
020,20.397135907028602,26.7159144226302,6.318778515601597,0.5751301437566649,0.8353503489444577,0.26022020518779276
